"filename", "language", "Dart", "XML", "JSON", "comment", "blank", "total"
"/Users/xusun/Desktop/Flutter/offershow/lib/components/home_btn.dart", "Dart", 118, 0, 0, 1, 10, 129
"/Users/xusun/Desktop/Flutter/offershow/lib/components/hot_btn.dart", "Dart", 171, 0, 0, 0, 7, 178
"/Users/xusun/Desktop/Flutter/offershow/lib/components/leftNavi.dart", "Dart", 320, 0, 0, 2, 16, 338
"/Users/xusun/Desktop/Flutter/offershow/lib/components/loading.dart", "Dart", 126, 0, 0, 7, 4, 137
"/Users/xusun/Desktop/Flutter/offershow/lib/components/maxwidth.dart", "Dart", 27, 0, 0, 0, 4, 31
"/Users/xusun/Desktop/Flutter/offershow/lib/components/newNaviBar.dart", "Dart", 131, 0, 0, 0, 5, 136
"/Users/xusun/Desktop/Flutter/offershow/lib/components/niw.dart", "Dart", 72, 0, 0, 0, 4, 76
"/Users/xusun/Desktop/Flutter/offershow/lib/components/nomore.dart", "Dart", 15, 0, 0, 0, 4, 19
"/Users/xusun/Desktop/Flutter/offershow/lib/components/occu_loading.dart", "Dart", 50, 0, 0, 0, 4, 54
"/Users/xusun/Desktop/Flutter/offershow/lib/components/tabbar.dart", "Dart", 12, 0, 0, 0, 4, 16
"/Users/xusun/Desktop/Flutter/offershow/lib/components/titleBar.dart", "Dart", 11, 0, 0, 0, 3, 14
"/Users/xusun/Desktop/Flutter/offershow/lib/components/topic.dart", "Dart", 686, 0, 0, 9, 19, 714
"/Users/xusun/Desktop/Flutter/offershow/lib/components/topic_reply.dart", "Dart", 506, 0, 0, 100, 16, 622
"/Users/xusun/Desktop/Flutter/offershow/lib/components/totop.dart", "Dart", 189, 0, 0, 1, 6, 196
"/Users/xusun/Desktop/Flutter/offershow/lib/components/video_player.dart", "Dart", 307, 0, 0, 2, 15, 324
"/Users/xusun/Desktop/Flutter/offershow/lib/config/config.dart", "Dart", 10, 0, 0, 0, 1, 11
"/Users/xusun/Desktop/Flutter/offershow/lib/database/collect_salary.dart", "Dart", 46, 0, 0, 7, 7, 60
"/Users/xusun/Desktop/Flutter/offershow/lib/emoji/emoji.dart", "Dart", 2, 0, 0, 0, 1, 3
"/Users/xusun/Desktop/Flutter/offershow/lib/img/anoy.svg", "XML", 0, 10, 0, 0, 1, 11
"/Users/xusun/Desktop/Flutter/offershow/lib/img/banner.svg", "XML", 0, 61, 0, 0, 1, 62
"/Users/xusun/Desktop/Flutter/offershow/lib/img/banner/banner1.svg", "XML", 0, 61, 0, 0, 1, 62
"/Users/xusun/Desktop/Flutter/offershow/lib/img/banner/banner2.svg", "XML", 0, 90, 0, 0, 1, 91
"/Users/xusun/Desktop/Flutter/offershow/lib/img/comment.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/detail_comment_more.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/detail_like.svg", "XML", 0, 3, 0, 0, 1, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/img/detail_like_blue.svg", "XML", 0, 3, 0, 0, 1, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/img/detail_sort.svg", "XML", 0, 3, 0, 0, 1, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/img/essence.svg", "XML", 0, 7, 0, 0, 1, 8
"/Users/xusun/Desktop/Flutter/offershow/lib/img/explore/bottom1.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/explore/bottom2.svg", "XML", 0, 6, 0, 0, 1, 7
"/Users/xusun/Desktop/Flutter/offershow/lib/img/explore/bottom3.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/explore/bottom4.svg", "XML", 0, 6, 0, 0, 1, 7
"/Users/xusun/Desktop/Flutter/offershow/lib/img/explore/bottom5.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/explore/explore.dart", "Dart", 0, 0, 0, 0, 2, 2
"/Users/xusun/Desktop/Flutter/offershow/lib/img/explore/explore.svg", "XML", 0, 12, 0, 0, 1, 13
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home.svg", "XML", 0, 61, 0, 0, 1, 62
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/1.svg", "XML", 0, 10, 0, 0, 1, 11
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/10.svg", "XML", 0, 6, 0, 0, 1, 7
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/2.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/3.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/4.svg", "XML", 0, 10, 0, 0, 1, 11
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/5.svg", "XML", 0, 1, 0, 0, 0, 1
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/6.svg", "XML", 0, 3, 0, 0, 1, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/7.svg", "XML", 0, 3, 0, 0, 1, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/8.svg", "XML", 0, 4, 0, 0, 1, 5
